[Activities:Rate, edge, uml:ControlFlow]
[Blocks:NestedConnectorEnd, role, Ports_Flows:FlowPort]
[Blocks:NestedConnectorEnd, partWithPort, additional_stereotypes:PartProperty]
[Blocks:NestedConnectorEnd, propertyPath, additional_stereotypes:PartProperty]
[Blocks:NestedConnectorEnd, end, uml:ConnectorEnd]
[Blocks:NestedConnectorEnd, role, uml:ConnectorEnd]
[Blocks:NestedConnectorEnd, end, 物理连接方式:以太网]
[Blocks:NestedConnectorEnd, end, 物理连接方式:光纤]
[Blocks:ValueType, packagedElement, Blocks:ValueType]
[Non_Normative_Extensions:External_system, packagedElement, Non_Normative_Extensions:External_system]
[Ports_Flows:FlowPort, ownedAttribute, Allocations:Allocated]
[Ports_Flows:FlowPort, type, Blocks:Block]
[Ports_Flows:FlowPort, role, Blocks:NestedConnectorEnd]
[Ports_Flows:FlowPort, informationSource, Ports_Flows:FlowPort]
[Ports_Flows:FlowPort, informationTarget, Ports_Flows:FlowPort]
[Ports_Flows:FlowPort, role, Ports_Flows:FlowPort]
[Ports_Flows:FlowPort, type, 数据语义:接口类型]
[Ports_Flows:FlowPort, ownedAttribute, 架构建模扩展包:进程]
[Ports_Flows:FlowPort, ownedAttribute, 系统及模块语义:外部系统]
[Ports_Flows:FlowPort, ownedAttribute, 系统总体:IS系统]
[Ports_Flows:FlowPort, ownedAttribute, 软件系统:软件系统]
[Requirements:DeriveReqt, packagedElement, Requirements:DeriveReqt]
[Requirements:DeriveReqt, supplier, Requirements:Requirement]
[Requirements:DeriveReqt, client, Requirements:RequirementRelated]
[Requirements:DeriveReqt, client, 需求类型:安全性需求]
[Requirements:Requirement, supplier, Requirements:DeriveReqt]
[Requirements:Requirement, nestedClassifier, Requirements:Requirement]
[Requirements:Requirement, DerivedFrom, Requirements:RequirementRelated]
[Requirements:Requirement, packagedElement, uml:Class]
[Requirements:Requirement, DerivedFrom, 需求类型:安全性需求]
[Requirements:RequirementRelated, client, Allocations:Allocate]
[Requirements:RequirementRelated, Satisfies, Allocations:Allocated]
[Requirements:RequirementRelated, allocatedFrom, Allocations:Allocated]
[Requirements:RequirementRelated, allocatedTo, Allocations:Allocated]
[Requirements:RequirementRelated, client, Requirements:DeriveReqt]
[Requirements:RequirementRelated, DerivedFrom, Requirements:Requirement]
[Requirements:RequirementRelated, Refines, Requirements:RequirementRelated]
[Requirements:RequirementRelated, SatisfiedBy, Requirements:RequirementRelated]
[Requirements:RequirementRelated, ownedBehavior, Requirements:RequirementRelated]
[Requirements:RequirementRelated, packagedElement, Requirements:RequirementRelated]
[Requirements:RequirementRelated, client, Requirements:Satisfy]
[Requirements:RequirementRelated, supplier, Requirements:Satisfy]
[Requirements:RequirementRelated, packagedElement, StandardProfileL2:modelLibrary]
[Requirements:RequirementRelated, client, StandardProfileL2:refine]
[Requirements:RequirementRelated, supplier, StandardProfileL2:refine]
[Requirements:RequirementRelated, behavior, uml:Activity]
[Requirements:RequirementRelated, edge, uml:Activity]
[Requirements:RequirementRelated, group, uml:Activity]
[Requirements:RequirementRelated, node, uml:Activity]
[Requirements:RequirementRelated, ownedAttribute, uml:Activity]
[Requirements:RequirementRelated, ownedParameter, uml:Activity]
[Requirements:RequirementRelated, partition, uml:Activity]
[Requirements:RequirementRelated, type, uml:Activity]
[Requirements:RequirementRelated, packagedElement, uml:Class]
[Requirements:RequirementRelated, group, 功能建模扩展包:功能分配]
[Requirements:RequirementRelated, partition, 功能建模扩展包:功能分配]
[Requirements:RequirementRelated, SatisfiedBy, 需求类型:安全性需求]
[Requirements:Satisfy, client, Allocations:Allocated]
[Requirements:Satisfy, client, Requirements:RequirementRelated]
[Requirements:Satisfy, supplier, Requirements:RequirementRelated]
[Requirements:Satisfy, packagedElement, Requirements:Satisfy]
[Requirements:Satisfy, packagedElement, StandardProfileL2:modelLibrary]
[Requirements:Satisfy, supplier, 需求类型:安全性需求]
[StandardProfileL2:modelLibrary, packagedElement, Allocations:Allocate]
[StandardProfileL2:modelLibrary, packagedElement, Allocations:Allocated]
[StandardProfileL2:modelLibrary, packagedElement, Blocks:Block]
[StandardProfileL2:modelLibrary, packagedElement, Requirements:RequirementRelated]
[StandardProfileL2:modelLibrary, packagedElement, Requirements:Satisfy]
[StandardProfileL2:modelLibrary, packagedElement, StandardProfileL2:refine]
[StandardProfileL2:modelLibrary, packagedElement, uml:Package]
[StandardProfileL2:modelLibrary, packagedElement, 功能建模扩展包:功能构件]
[StandardProfileL2:modelLibrary, packagedElement, 功能建模扩展包:软件模式]
[StandardProfileL2:modelLibrary, packagedElement, 硬件系统:硬件构件]
[StandardProfileL2:modelLibrary, packagedElement, 软件系统:软件模块]
[StandardProfileL2:refine, client, Requirements:RequirementRelated]
[StandardProfileL2:refine, supplier, Requirements:RequirementRelated]
[StandardProfileL2:refine, packagedElement, StandardProfileL2:modelLibrary]
[StandardProfileL2:refine, client, 功能建模扩展包:软件模式]
[_4仿真模型:仿真模型, ownedAttribute, _4仿真模型:全局变量]
[_4仿真模型:仿真模型, ownedAttribute, additional_stereotypes:ReferenceProperty]
[_4仿真模型:仿真模型, ownedAttribute, additional_stereotypes:ValueProperty]
[_4仿真模型:仿真模型, classifier, uml:Class]
[_4仿真模型:仿真模型, ownedAttribute, uml:Class]
[_4仿真模型:仿真模型, ownedBehavior, uml:Class]
[_4仿真模型:仿真模型, packagedElement, uml:Class]
[_4仿真模型:全局变量, ownedAttribute, _4仿真模型:仿真模型]
[_4仿真模型:全局变量, definingFeature, uml:Property]
[additional_stereotypes:PartProperty, client, Allocations:Allocate]
[additional_stereotypes:PartProperty, supplier, Allocations:Allocate]
[additional_stereotypes:PartProperty, allocatedFrom, Allocations:Allocated]
[additional_stereotypes:PartProperty, allocatedTo, Allocations:Allocated]
[additional_stereotypes:PartProperty, ownedAttribute, Allocations:Allocated]
[additional_stereotypes:PartProperty, type, Allocations:Allocated]
[additional_stereotypes:PartProperty, ownedAttribute, Blocks:Block]
[additional_stereotypes:PartProperty, type, Blocks:Block]
[additional_stereotypes:PartProperty, partWithPort, Blocks:NestedConnectorEnd]
[additional_stereotypes:PartProperty, propertyPath, Blocks:NestedConnectorEnd]
[additional_stereotypes:PartProperty, represents, uml:Property]
[additional_stereotypes:PartProperty, role, uml:Property]
[additional_stereotypes:PartProperty, represents, 功能建模扩展包:功能分配]
[additional_stereotypes:PartProperty, type, 数据语义:接口类型]
[additional_stereotypes:PartProperty, type, 架构建模扩展包:进程]
[additional_stereotypes:PartProperty, ownedAttribute, 硬件系统:硬件构件]
[additional_stereotypes:PartProperty, type, 硬件系统:硬件构件]
[additional_stereotypes:PartProperty, ownedAttribute, 硬件系统:硬件系统]
[additional_stereotypes:PartProperty, type, 硬件系统:硬件系统]
[additional_stereotypes:PartProperty, type, 系统及模块语义:外部系统]
[additional_stereotypes:PartProperty, ownedAttribute, 系统及模块语义:系统上下文]
[additional_stereotypes:PartProperty, ownedAttribute, 系统总体:IS系统]
[additional_stereotypes:PartProperty, type, 系统总体:IS系统]
[additional_stereotypes:PartProperty, ownedAttribute, 软件系统:软件系统]
[additional_stereotypes:PartProperty, type, 软件系统:软件系统]
[additional_stereotypes:ReferenceProperty, ownedAttribute, _4仿真模型:仿真模型]
[additional_stereotypes:ReferenceProperty, defaultValue, uml:Property]
[additional_stereotypes:ReferenceProperty, definingFeature, uml:Property]
[additional_stereotypes:ReferenceProperty, type, 数据语义:接口元素]
[additional_stereotypes:ReferenceProperty, ownedAttribute, 数据语义:接口类型]
[additional_stereotypes:ReferenceProperty, type, 数据语义:接口类型]
[additional_stereotypes:ReferenceProperty, ownedAttribute, 硬件系统:硬件构件]
[additional_stereotypes:ReferenceProperty, type, 硬件系统:硬件系统]
[additional_stereotypes:ValueProperty, ownedAttribute, Blocks:Block]
[additional_stereotypes:ValueProperty, ownedAttribute, _4仿真模型:仿真模型]
[additional_stereotypes:ValueProperty, defaultValue, uml:Property]
[additional_stereotypes:ValueProperty, definingFeature, uml:Property]
[additional_stereotypes:ValueProperty, ownedAttribute, 数据语义:接口元素]
[additional_stereotypes:ValueProperty, ownedAttribute, 系统总体:IS系统]
[uml:Activity, edge, Activities:Rate]
[uml:Activity, ownedBehavior, Allocations:Allocated]
[uml:Activity, ownedBehavior, Requirements:RequirementRelated]
[uml:Activity, packagedElement, StandardProfileL2:modelLibrary]
[uml:Activity, ownedBehavior, _4仿真模型:仿真模型]
[uml:Activity, behavior, uml:Activity]
[uml:Activity, constrainedElement, uml:Activity]
[uml:Activity, edge, uml:Activity]
[uml:Activity, group, uml:Activity]
[uml:Activity, node, uml:Activity]
[uml:Activity, ownedAttribute, uml:Activity]
[uml:Activity, ownedParameter, uml:Activity]
[uml:Activity, ownedRule, uml:Activity]
[uml:Activity, packagedElement, uml:Activity]
[uml:Activity, partition, uml:Activity]
[uml:Activity, type, uml:Activity]
[uml:Activity, ownedBehavior, 系统总体:IS系统]
[uml:ActivityFinalNode, incoming, Activities:Rate]
[uml:ActivityFinalNode, target, Activities:Rate]
[uml:ActivityFinalNode, node, Requirements:RequirementRelated]
[uml:ActivityFinalNode, incoming, uml:ActivityFinalNode]
[uml:ActivityFinalNode, node, uml:ActivityFinalNode]
[uml:ActivityFinalNode, target, uml:ActivityFinalNode]
[uml:ActivityParameterNode, incoming, Activities:Rate]
[uml:ActivityParameterNode, target, Activities:Rate]
[uml:ActivityParameterNode, node, Allocations:Allocated]
[uml:ActivityParameterNode, type, Blocks:Block]
[uml:ActivityParameterNode, node, Requirements:RequirementRelated]
[uml:ActivityParameterNode, incoming, uml:ActivityParameterNode]
[uml:ActivityParameterNode, node, uml:ActivityParameterNode]
[uml:ActivityParameterNode, outgoing, uml:ActivityParameterNode]
[uml:ActivityParameterNode, parameter, uml:ActivityParameterNode]
[uml:ActivityParameterNode, source, uml:ActivityParameterNode]
[uml:ActivityParameterNode, target, uml:ActivityParameterNode]
[uml:ActivityParameterNode, node, 功能建模扩展包:功能构件]
[uml:ActivityParameterNode, type, 数据语义:接口类型]
[uml:ActivityPartition, edge, Activities:Rate]
[uml:ActivityPartition, inPartition, Activities:Rate]
[uml:ActivityPartition, represents, Allocations:Allocated]
[uml:ActivityPartition, group, Requirements:RequirementRelated]
[uml:ActivityPartition, partition, Requirements:RequirementRelated]
[uml:ActivityPartition, represents, additional_stereotypes:PartProperty]
[uml:ActivityPartition, edge, uml:ActivityPartition]
[uml:ActivityPartition, group, uml:ActivityPartition]
[uml:ActivityPartition, inPartition, uml:ActivityPartition]
[uml:ActivityPartition, node, uml:ActivityPartition]
[uml:ActivityPartition, partition, uml:ActivityPartition]
[uml:ActivityPartition, subpartition, uml:ActivityPartition]
[uml:ActivityPartition, subpartition, 功能建模扩展包:功能分配]
[uml:Actor, packagedElement, uml:Actor]
[uml:CallBehaviorAction, outgoing, Activities:Rate]
[uml:CallBehaviorAction, source, Activities:Rate]
[uml:CallBehaviorAction, behavior, Allocations:Allocated]
[uml:CallBehaviorAction, behavior, Requirements:RequirementRelated]
[uml:CallBehaviorAction, node, Requirements:RequirementRelated]
[uml:CallBehaviorAction, argument, uml:CallBehaviorAction]
[uml:CallBehaviorAction, behavior, uml:CallBehaviorAction]
[uml:CallBehaviorAction, bodyPart, uml:CallBehaviorAction]
[uml:CallBehaviorAction, constrainedElement, uml:CallBehaviorAction]
[uml:CallBehaviorAction, inPartition, uml:CallBehaviorAction]
[uml:CallBehaviorAction, incoming, uml:CallBehaviorAction]
[uml:CallBehaviorAction, node, uml:CallBehaviorAction]
[uml:CallBehaviorAction, outgoing, uml:CallBehaviorAction]
[uml:CallBehaviorAction, result, uml:CallBehaviorAction]
[uml:CallBehaviorAction, setupPart, uml:CallBehaviorAction]
[uml:CallBehaviorAction, source, uml:CallBehaviorAction]
[uml:CallBehaviorAction, target, uml:CallBehaviorAction]
[uml:CallBehaviorAction, test, uml:CallBehaviorAction]
[uml:CallBehaviorAction, inPartition, 功能建模扩展包:功能分配]
[uml:CallBehaviorAction, node, 功能建模扩展包:功能分配]
[uml:CallBehaviorAction, 功能实例, 功能建模扩展包:功能分配]
[uml:CallBehaviorAction, behavior, 功能建模扩展包:功能构件]
[uml:CallBehaviorAction, behavior, 功能建模扩展包:软件模式]
[uml:CallEvent, event, uml:CallEvent]
[uml:CallEvent, packagedElement, uml:CallEvent]
[uml:CentralBufferNode, type, Blocks:Block]
[uml:CentralBufferNode, node, Requirements:RequirementRelated]
[uml:CentralBufferNode, constrainedElement, uml:CentralBufferNode]
[uml:CentralBufferNode, incoming, uml:CentralBufferNode]
[uml:CentralBufferNode, node, uml:CentralBufferNode]
[uml:CentralBufferNode, outgoing, uml:CentralBufferNode]
[uml:CentralBufferNode, source, uml:CentralBufferNode]
[uml:CentralBufferNode, target, uml:CentralBufferNode]
[uml:CentralBufferNode, type, 数据语义:接口类型]
[uml:Connector, ownedConnector, Allocations:Allocated]
[uml:Connector, end, Blocks:NestedConnectorEnd]
[uml:Connector, end, uml:Connector]
[uml:Connector, realizingConnector, uml:Connector]
[uml:Connector, ownedConnector, 硬件系统:硬件系统]
[uml:Connector, ownedConnector, 系统及模块语义:系统上下文]
[uml:Connector, ownedConnector, 软件系统:软件系统]
[uml:ConnectorEnd, role, Ports_Flows:FlowPort]
[uml:ConnectorEnd, role, additional_stereotypes:PartProperty]
[uml:ConnectorEnd, end, uml:ConnectorEnd]
[uml:ConnectorEnd, role, uml:ConnectorEnd]
[uml:Constraint, constrainedElement, Allocations:Allocated]
[uml:Constraint, ownedRule, Allocations:Allocated]
[uml:Constraint, constrainedElement, uml:Constraint]
[uml:Constraint, ownedRule, uml:Constraint]
[uml:Constraint, specification, uml:Constraint]
[uml:ControlFlow, edge, Requirements:RequirementRelated]
[uml:ControlFlow, edge, uml:ControlFlow]
[uml:ControlFlow, guard, uml:ControlFlow]
[uml:ControlFlow, inPartition, uml:ControlFlow]
[uml:ControlFlow, incoming, uml:ControlFlow]
[uml:ControlFlow, outgoing, uml:ControlFlow]
[uml:ControlFlow, source, uml:ControlFlow]
[uml:ControlFlow, target, uml:ControlFlow]
[uml:ControlFlow, weight, uml:ControlFlow]
[uml:ControlFlow, edge, 功能建模扩展包:功能分配]
[uml:ControlFlow, inPartition, 功能建模扩展包:功能分配]
[uml:DecisionNode, node, Requirements:RequirementRelated]
[uml:DecisionNode, incoming, uml:DecisionNode]
[uml:DecisionNode, node, uml:DecisionNode]
[uml:DecisionNode, outgoing, uml:DecisionNode]
[uml:DecisionNode, source, uml:DecisionNode]
[uml:DecisionNode, target, uml:DecisionNode]
[uml:Dependency, client, uml:Dependency]
[uml:Dependency, packagedElement, uml:Dependency]
[uml:Dependency, supplier, uml:Dependency]
[uml:Enumeration, ownedLiteral, uml:Enumeration]
[uml:Enumeration, packagedElement, uml:Enumeration]
[uml:Enumeration, type, uml:Enumeration]
[uml:EnumerationLiteral, ownedLiteral, uml:EnumerationLiteral]
[uml:ForkNode, incoming, Activities:Rate]
[uml:ForkNode, outgoing, Activities:Rate]
[uml:ForkNode, source, Activities:Rate]
[uml:ForkNode, target, Activities:Rate]
[uml:ForkNode, node, uml:ForkNode]
[uml:ForkNode, outgoing, uml:ForkNode]
[uml:ForkNode, source, uml:ForkNode]
[uml:Generalization, general, uml:Generalization]
[uml:Generalization, generalization, uml:Generalization]
[uml:Generalization, general, 数据语义:接口元素]
[uml:Generalization, generalization, 数据语义:接口元素]
[uml:Generalization, general, 数据语义:接口类型]
[uml:Generalization, generalization, 数据语义:接口类型]
[uml:InformationFlow, conveyed, Blocks:Block]
[uml:InformationFlow, informationSource, Ports_Flows:FlowPort]
[uml:InformationFlow, informationTarget, Ports_Flows:FlowPort]
[uml:InformationFlow, packagedElement, uml:InformationFlow]
[uml:InformationFlow, realizingConnector, uml:InformationFlow]
[uml:InformationFlow, conveyed, 数据语义:接口类型]
[uml:InformationFlow, realizingConnector, 物理连接方式:以太网]
[uml:InformationFlow, realizingConnector, 物理连接方式:光纤]
[uml:InitialNode, outgoing, Activities:Rate]
[uml:InitialNode, source, Activities:Rate]
[uml:InitialNode, node, Requirements:RequirementRelated]
[uml:InitialNode, node, uml:InitialNode]
[uml:InitialNode, outgoing, uml:InitialNode]
[uml:InitialNode, source, uml:InitialNode]
[uml:InputPin, type, Blocks:Block]
[uml:InputPin, argument, uml:InputPin]
[uml:InputPin, incoming, uml:InputPin]
[uml:InputPin, target, uml:InputPin]
[uml:InputPin, type, 数据语义:接口类型]
[uml:InstanceSpecification, classifier, Blocks:Block]
[uml:InstanceSpecification, classifier, _4仿真模型:仿真模型]
[uml:InstanceSpecification, instance, uml:InstanceSpecification]
[uml:InstanceSpecification, packagedElement, uml:InstanceSpecification]
[uml:InstanceSpecification, slot, uml:InstanceSpecification]
[uml:InstanceSpecification, classifier, 数据语义:接口元素]
[uml:InstanceSpecification, classifier, 数据语义:接口类型]
[uml:InstanceValue, defaultValue, additional_stereotypes:ReferenceProperty]
[uml:InstanceValue, instance, uml:InstanceValue]
[uml:InstanceValue, value, uml:InstanceValue]
[uml:Interaction, fragment, uml:Interaction]
[uml:Interaction, lifeline, uml:Interaction]
[uml:Interaction, message, uml:Interaction]
[uml:Interaction, ownedBehavior, 系统及模块语义:系统上下文]
[uml:Lifeline, represents, additional_stereotypes:PartProperty]
[uml:Lifeline, covered, uml:Lifeline]
[uml:Lifeline, coveredBy, uml:Lifeline]
[uml:Lifeline, lifeline, uml:Lifeline]
[uml:LiteralString, defaultValue, additional_stereotypes:ValueProperty]
[uml:LiteralString, defaultValue, uml:LiteralString]
[uml:LiteralString, value, uml:LiteralString]
[uml:LiteralUnlimitedNatural, weight, Activities:Rate]
[uml:LiteralUnlimitedNatural, weight, uml:LiteralUnlimitedNatural]
[uml:LoopNode, bodyPart, uml:LoopNode]
[uml:LoopNode, edge, uml:LoopNode]
[uml:LoopNode, group, uml:LoopNode]
[uml:LoopNode, node, uml:LoopNode]
[uml:LoopNode, setupPart, uml:LoopNode]
[uml:LoopNode, test, uml:LoopNode]
[uml:Message, message, uml:Message]
[uml:Message, receiveEvent, uml:Message]
[uml:Message, sendEvent, uml:Message]
[uml:MessageOccurrenceSpecification, covered, uml:MessageOccurrenceSpecification]
[uml:MessageOccurrenceSpecification, coveredBy, uml:MessageOccurrenceSpecification]
[uml:MessageOccurrenceSpecification, event, uml:MessageOccurrenceSpecification]
[uml:MessageOccurrenceSpecification, fragment, uml:MessageOccurrenceSpecification]
[uml:MessageOccurrenceSpecification, message, uml:MessageOccurrenceSpecification]
[uml:MessageOccurrenceSpecification, receiveEvent, uml:MessageOccurrenceSpecification]
[uml:MessageOccurrenceSpecification, sendEvent, uml:MessageOccurrenceSpecification]
[uml:Model, packagedElement, uml:Model]
[uml:ObjectFlow, edge, Requirements:RequirementRelated]
[uml:ObjectFlow, edge, uml:ObjectFlow]
[uml:ObjectFlow, incoming, uml:ObjectFlow]
[uml:ObjectFlow, outgoing, uml:ObjectFlow]
[uml:ObjectFlow, source, uml:ObjectFlow]
[uml:ObjectFlow, target, uml:ObjectFlow]
[uml:ObjectFlow, weight, uml:ObjectFlow]
[uml:OpaqueBehavior, behavior, uml:OpaqueBehavior]
[uml:OpaqueBehavior, ownedParameter, uml:OpaqueBehavior]
[uml:OpaqueBehavior, packagedElement, uml:OpaqueBehavior]
[uml:OpaqueExpression, guard, uml:OpaqueExpression]
[uml:OpaqueExpression, specification, uml:OpaqueExpression]
[uml:OutputPin, outgoing, Activities:Rate]
[uml:OutputPin, source, Activities:Rate]
[uml:OutputPin, outgoing, uml:OutputPin]
[uml:OutputPin, result, uml:OutputPin]
[uml:OutputPin, source, uml:OutputPin]
[uml:Package, packagedElement, Allocations:Allocate]
[uml:Package, packagedElement, Allocations:Allocated]
[uml:Package, packagedElement, Blocks:Block]
[uml:Package, packagedElement, Blocks:ValueType]
[uml:Package, packagedElement, Non_Normative_Extensions:External_system]
[uml:Package, packagedElement, Requirements:DeriveReqt]
[uml:Package, packagedElement, Requirements:Requirement]
[uml:Package, packagedElement, Requirements:RequirementRelated]
[uml:Package, packagedElement, Requirements:Satisfy]
[uml:Package, packagedElement, StandardProfileL2:modelLibrary]
[uml:Package, packagedElement, _4仿真模型:仿真模型]
[uml:Package, client, uml:Package]
[uml:Package, ownedRule, uml:Package]
[uml:Package, packagedElement, uml:Package]
[uml:Package, supplier, uml:Package]
[uml:Package, 架构方案, 功能建模扩展包:功能分配]
[uml:Package, packagedElement, 数据语义:接口元素]
[uml:Package, packagedElement, 数据语义:接口类型]
[uml:Package, packagedElement, 架构建模扩展包:进程]
[uml:Package, packagedElement, 硬件系统:硬件系统]
[uml:Package, packagedElement, 系统及模块语义:外部系统]
[uml:Package, packagedElement, 系统及模块语义:系统上下文]
[uml:Package, packagedElement, 系统总体:IS系统]
[uml:Package, packagedElement, 软件系统:软件系统]
[uml:Package, packagedElement, 需求类型:安全性需求]
[uml:PackageImport, metamodelReference, uml:PackageImport]
[uml:PackageImport, packageImport, uml:PackageImport]
[uml:Parameter, ownedParameter, Allocations:Allocated]
[uml:Parameter, type, Blocks:Block]
[uml:Parameter, ownedParameter, Requirements:RequirementRelated]
[uml:Parameter, ownedParameter, uml:Parameter]
[uml:Parameter, parameter, uml:Parameter]
[uml:Parameter, ownedParameter, 功能建模扩展包:功能构件]
[uml:Parameter, type, 数据语义:接口类型]
[uml:Port, ownedAttribute, Allocations:Allocated]
[uml:Port, role, Blocks:NestedConnectorEnd]
[uml:Port, role, uml:Port]
[uml:Port, ownedAttribute, 硬件系统:硬件构件]
[uml:Port, ownedAttribute, 软件系统:软件模块]
[uml:Profile, metamodelReference, uml:Profile]
[uml:Profile, packageImport, uml:Profile]
[uml:Profile, packagedElement, uml:Profile]
[uml:Property, type, Allocations:Allocated]
[uml:Property, ownedAttribute, Requirements:RequirementRelated]
[uml:Property, type, Requirements:RequirementRelated]
[uml:Property, ownedAttribute, _4仿真模型:仿真模型]
[uml:Property, defaultValue, uml:Property]
[uml:Property, definingFeature, uml:Property]
[uml:Property, ownedAttribute, uml:Property]
[uml:Property, type, uml:Property]
[uml:Property, type, 功能建模扩展包:功能构件]
[uml:Property, type, 功能建模扩展包:软件模式]
[uml:Property, ownedAttribute, 数据语义:接口类型]
[uml:Property, ownedAttribute, 硬件系统:硬件构件]
[uml:ReadStructuralFeatureAction, node, uml:ReadStructuralFeatureAction]
[uml:SendSignalEvent, event, uml:SendSignalEvent]
[uml:SendSignalEvent, packagedElement, uml:SendSignalEvent]
[uml:Slot, definingFeature, _4仿真模型:全局变量]
[uml:Slot, definingFeature, additional_stereotypes:ReferenceProperty]
[uml:Slot, definingFeature, additional_stereotypes:ValueProperty]
[uml:Slot, definingFeature, uml:Slot]
[uml:Slot, slot, uml:Slot]
[uml:Slot, value, uml:Slot]
[uml:Stereotype, general, uml:Stereotype]
[uml:Stereotype, generalization, uml:Stereotype]
[uml:Stereotype, ownedAttribute, uml:Stereotype]
[uml:Stereotype, packagedElement, uml:Stereotype]
[功能建模扩展包:功能分配, group, Requirements:RequirementRelated]
[功能建模扩展包:功能分配, partition, Requirements:RequirementRelated]
[功能建模扩展包:功能分配, represents, additional_stereotypes:PartProperty]
[功能建模扩展包:功能分配, edge, uml:ActivityPartition]
[功能建模扩展包:功能分配, inPartition, uml:ActivityPartition]
[功能建模扩展包:功能分配, node, uml:ActivityPartition]
[功能建模扩展包:功能分配, subpartition, uml:ActivityPartition]
[功能建模扩展包:功能分配, 功能实例, uml:ActivityPartition]
[功能建模扩展包:功能分配, 架构方案, uml:ActivityPartition]
[功能建模扩展包:功能构件, packagedElement, StandardProfileL2:modelLibrary]
[功能建模扩展包:功能构件, behavior, uml:Activity]
[功能建模扩展包:功能构件, node, uml:Activity]
[功能建模扩展包:功能构件, ownedParameter, uml:Activity]
[功能建模扩展包:功能构件, type, uml:Activity]
[功能建模扩展包:软件模式, packagedElement, StandardProfileL2:modelLibrary]
[功能建模扩展包:软件模式, client, StandardProfileL2:refine]
[功能建模扩展包:软件模式, behavior, uml:Activity]
[功能建模扩展包:软件模式, type, uml:Activity]
[数据语义:接口元素, type, additional_stereotypes:ReferenceProperty]
[数据语义:接口元素, ownedAttribute, additional_stereotypes:ValueProperty]
[数据语义:接口元素, classifier, uml:Class]
[数据语义:接口元素, general, uml:Class]
